date;PM10;NO2;O3;SO2;PM25;CO
01/01/2019 00:30;29;3,37;15,43;0,74;;0,934
01/01/2019 01:30;24;3,19;15,13;0,75;;0,899
01/01/2019 02:30;18;2,81;14,53;0,74;14;0,925
01/01/2019 03:30;14;2,87;15,34;0,76;11;0,903
01/01/2019 04:30;11;2;15,14;0,7;9;0,665
01/01/2019 05:30;;3,58;40,82;1,75;;0,668
01/01/2019 06:30;;10,17;75,25;3,61;;0,686
01/01/2019 07:30;;16,38;139,75;6,33;;0,664
01/01/2019 08:30;5;18,49;137,41;6,19;;0,643
01/01/2019 09:30;5;13,64;133,75;5,89;4;0,649
01/01/2019 10:30;6;10,6;157,66;5,63;5;0,624
01/01/2019 11:30;9;9,77;152,19;5,51;;0,618
01/01/2019 12:30;7;8,28;159,29;5,64;6;0,587
01/01/2019 13:30;8;7,8;170,66;5,58;6;0,567
01/01/2019 14:30;6;12,72;171,59;5,9;;0,611
01/01/2019 15:30;7;8,62;151,05;5,91;;0,679
01/01/2019 16:30;13;9,15;151,68;5,92;11;0,625
01/01/2019 17:30;8;10,83;194,48;6,46;;0,603
01/01/2019 18:30;7;14,79;171,16;6,31;;0,634
01/01/2019 19:30;13;20,28;111,65;5,37;8;0,7
01/01/2019 20:30;8;15,14;83,57;3,88;;0,725
01/01/2019 21:30;15;13,06;61,7;3,02;;0,841
01/01/2019 22:30;17;9,31;38,18;1,75;9;0,932
01/01/2019 23:30;15;8,18;41,04;1,75;9;0,838
02/01/2019 00:30;9;2,84;18,17;;7;0,714
02/01/2019 01:30;7;2,76;15,75;;;0,723
02/01/2019 02:30;6;2,38;15,42;;;0,728
02/01/2019 03:30;;1,26;15,17;0,88;;0,643
02/01/2019 04:30;;1,47;14,1;0,88;;0,642
02/01/2019 05:30;10;5,42;31,1;2,08;8;0,673
02/01/2019 06:30;20;13,19;55;4,01;10;0,879
02/01/2019 07:30;27;28,24;102,7;6,75;12;0,999
02/01/2019 08:30;17;28,94;85,17;6,34;6;0,905
02/01/2019 09:30;;17,79;94,53;5,85;;0,693
02/01/2019 10:30;17;13,65;102,39;5,51;1;0,628
02/01/2019 11:30;9;14,98;128,73;5,51;3;0,623
02/01/2019 12:30;14;16,57;146,3;5,65;9;0,631
02/01/2019 13:30;;16,08;129,96;5,56;13;0,638
02/01/2019 14:30;20;;;;13;
02/01/2019 15:30;19;27,49;114,53;5,81;14;0,74
02/01/2019 16:30;;27,55;119,74;5,88;11;0,747
02/01/2019 17:30;20;24,31;158,08;6,44;15;0,687
02/01/2019 18:30;10;15,02;163,47;6,38;;0,618
02/01/2019 19:30;10;18,1;187,31;5,4;;0,751
02/01/2019 20:30;15;17,26;106,24;3,89;10;0,886
02/01/2019 21:30;29;15,43;70,93;3,02;14;0,989
02/01/2019 22:30;30;8,71;44,6;1,75;17;1,15
02/01/2019 23:30;38;7,41;53,45;1,75;17;1,342
03/01/2019 00:30;33;3,75;23,43;0,87;15;1,153
03/01/2019 01:30;;3,89;20,7;;;0,917
03/01/2019 02:30;11;3,3;19,62;;;0,738
03/01/2019 03:30;20;1,99;19,94;0,88;6;0,647
03/01/2019 04:30;11;1,73;18,55;0,88;7;0,638
03/01/2019 05:30;17;5,35;42,56;2,08;7;0,655
03/01/2019 06:30;27;11,95;77,65;3,99;13;0,901
03/01/2019 07:30;45;26,75;163,36;6,78;20;1,34
03/01/2019 08:30;31;30,7;142,33;6,43;21;1,352
03/01/2019 09:30;27;24,94;99,77;5,9;12;0,867
03/01/2019 10:30;21;20,64;90,13;5,56;10;0,793
03/01/2019 11:30;25;23,31;99,67;5,54;12;0,781
03/01/2019 12:30;28;27,1;137,27;5,69;20;0,826
03/01/2019 13:30;30;23,12;132,58;5,6;13;0,755
03/01/2019 14:30;19;20,83;134,05;5,8;12;0,737
03/01/2019 15:30;17;20,19;122,28;5,81;13;0,724
03/01/2019 16:30;21;20,99;115,95;5,85;13;0,697
03/01/2019 17:30;18;30,91;136,56;6,45;9;0,749
03/01/2019 18:30;31;45,17;106,99;6,32;14;0,911
03/01/2019 19:30;26;38,49;83,7;5,33;20;0,862
03/01/2019 20:30;19;28,93;59,48;3,85;15;0,882
03/01/2019 21:30;31;20,56;52,42;3;18;1,11
03/01/2019 22:30;32;12,07;31,11;1,74;24;1,159
03/01/2019 23:30;34;11,34;27,85;1,74;23;1,038
04/01/2019 00:30;29;5,21;14,44;;18;1,086
04/01/2019 01:30;33;4,82;15,26;;17;1,033
04/01/2019 02:30;21;4,37;15,06;;16;0,81
04/01/2019 03:30;30;4,15;18,44;0,87;13;0,856
04/01/2019 04:30;25;2,32;20,77;0,87;14;0,657
04/01/2019 05:30;12;5,34;50,81;2,07;7;0,644
04/01/2019 06:30;13;12,05;109,47;3,98;9;0,76
04/01/2019 07:30;;31,78;133,26;6,8;;0,827
04/01/2019 08:30;7;28,08;100,69;6,5;;0,811
04/01/2019 09:30;6;30,82;83,29;6,01;;0,871
04/01/2019 10:30;41;47,81;31,52;6,23;27;1,288
04/01/2019 11:30;24;;;;15;0,968
04/01/2019 12:30;27;;;;10;0,805
04/01/2019 13:30;20;15,93;100,43;5,65;9;0,672
04/01/2019 14:30;15;18,39;103,16;5,9;8;0,727
04/01/2019 15:30;9;18,26;93,04;5,88;6;0,729
04/01/2019 16:30;6;19,54;72,49;5,96;4;0,728
04/01/2019 17:30;;;;;;
04/01/2019 18:30;29;38,13;55,31;6,4;11;0,908
04/01/2019 19:30;25;39,73;33,75;5,49;18;0,997
04/01/2019 20:30;36;30,35;24,25;4,31;19;1,113
04/01/2019 21:30;31;21,15;21,94;3,05;22;1,111
04/01/2019 22:30;30;11,57;13,03;1,83;15;1,155
04/01/2019 23:30;39;10,61;14,74;1,87;21;1,362
05/01/2019 00:30;35;5,56;6,88;0,93;26;1,172
05/01/2019 01:30;27;4,89;6,68;0,98;14;1,144
05/01/2019 02:30;30;4,74;8,57;1,06;22;1,242
05/01/2019 03:30;36;4,34;8,43;1,09;17;1,241
05/01/2019 04:30;29;4,34;6,27;1,09;12;1,033
05/01/2019 05:30;27;9,18;16,72;2,67;15;0,928
05/01/2019 06:30;30;13,79;30,53;5,34;21;1,033
05/01/2019 07:30;37;28,75;60,6;9,05;18;1,292
05/01/2019 08:30;38;41,48;62,92;8,56;22;1,339
05/01/2019 09:30;26;49,3;62,07;7,88;20;1,194
05/01/2019 10:30;30;32,34;63,33;7,38;10;0,904
05/01/2019 11:30;27;32,22;104,43;8,24;17;0,858
05/01/2019 12:30;27;28,09;115,41;13,06;16;0,797
05/01/2019 13:30;23;22,51;112,38;14,42;16;0,74
05/01/2019 14:30;10;19,27;94,93;10,63;7;0,66
05/01/2019 15:30;9;12,83;84,7;8,4;4;0,624
05/01/2019 16:30;;11,79;83,75;7,83;2;0,63
05/01/2019 17:30;15;13,1;110,62;8,57;7;0,611
05/01/2019 18:30;12;14,82;110,41;8,41;10;0,634
05/01/2019 19:30;16;21,49;75,48;7,09;10;0,736
05/01/2019 20:30;17;19,48;46,33;5,13;16;0,913
05/01/2019 21:30;34;22,94;26,56;3,99;26;1,267
05/01/2019 22:30;40;12,79;14,45;2,32;26;1,301
05/01/2019 23:30;24;11,9;12,55;2,32;12;0,994
06/01/2019 00:30;17;4,75;7,69;;14;0,951
06/01/2019 01:30;32;5,08;9,18;1,16;26;1,186
06/01/2019 02:30;23;3,33;9,18;1,16;22;0,912
06/01/2019 03:30;20;2,29;9,1;1,17;12;0,747
06/01/2019 04:30;27;2,69;8,25;1,17;12;0,783
06/01/2019 05:30;22;7,95;17,79;2,77;16;0,796
06/01/2019 06:30;18;17,49;30,32;5,34;14;0,902
06/01/2019 07:30;19;30,57;53,93;9;10;0,905
06/01/2019 08:30;18;13,17;67,9;8,47;7;0,676
06/01/2019 09:30;12;7,46;74,67;7,81;6;0,62
06/01/2019 10:30;15;8,27;82,75;7,37;5;0,61
06/01/2019 11:30;14;8,91;88,07;7,35;7;0,595
06/01/2019 12:30;;7,33;86,38;7,52;6;0,575
06/01/2019 13:30;13;7,53;94,52;7,4;10;0,588
06/01/2019 14:30;11;7,66;95,72;7,68;8;0,567
06/01/2019 15:30;7;7,55;86,67;7,67;5;0,553
06/01/2019 16:30;;8,75;92,71;7,77;6;0,546
06/01/2019 17:30;11;10,2;98,44;8,51;5;0,57
06/01/2019 18:30;10;15,57;78,7;8,35;;0,639
06/01/2019 19:30;;22,84;62,11;7,09;7;0,762
06/01/2019 20:30;13;16,77;36,57;5,13;9;0,824
06/01/2019 21:30;;10,2;29,95;3,98;;0,774
06/01/2019 22:30;14;2,22;26,67;2,31;9;0,668
06/01/2019 23:30;18;1,75;27,05;2,31;7;0,649
07/01/2019 00:30;;0,68;13,03;;;0,631
07/01/2019 01:30;7;0,62;12,2;1,16;;0,628
07/01/2019 02:30;6;0,54;12,05;1,16;;0,626
07/01/2019 03:30;12;0,48;11,21;1,17;9;0,607
07/01/2019 04:30;6;1,5;10,08;1,17;5;0,658
07/01/2019 05:30;9;3,28;24,81;2,75;4;0,631
07/01/2019 06:30;;11,4;41,06;5,29;;0,745
07/01/2019 07:30;17;17,73;71,52;8,96;8;0,73
07/01/2019 08:30;19;18,17;71,58;8,45;;0,774
07/01/2019 09:30;15;16,47;75,08;7,8;12;0,732
07/01/2019 10:30;16;15,01;83,16;7,36;12;0,684
07/01/2019 11:30;12;10,06;107,14;7,34;10;0,62
07/01/2019 12:30;17;14,37;97,42;7,52;13;0,629
07/01/2019 13:30;;13,95;83,13;7,39;10;0,627
07/01/2019 14:30;15;13,83;85,47;7,67;10;0,599
07/01/2019 15:30;13;15,37;92,82;7,66;9;0,627
07/01/2019 16:30;15;20,64;101,54;7,79;5;0,706
07/01/2019 17:30;;28,02;105,13;8,51;8;0,754
07/01/2019 18:30;20;28,89;96,15;8,34;9;0,736
07/01/2019 19:30;13;19,8;78,13;7,05;;0,649
07/01/2019 20:30;10;9,39;45,94;5,1;;0,618
07/01/2019 21:30;12;4,97;36,79;3,97;9;0,615
07/01/2019 22:30;15;2,2;26,22;2,3;8;0,581
07/01/2019 23:30;12;2,87;28,93;2,31;8;0,604
08/01/2019 00:30;7;0,93;13,86;;5;0,599
08/01/2019 01:30;10;0,75;12,66;1,16;5;0,597
08/01/2019 02:30;8;0,48;12,14;1,16;7;0,606
08/01/2019 03:30;9;0,57;12,28;1,17;;0,612
08/01/2019 04:30;14;0,78;11,22;1,17;9;0,618
08/01/2019 05:30;22;3,89;28,05;2,76;17;0,681
08/01/2019 06:30;20;14,92;44,88;5,31;13;0,788
08/01/2019 07:30;15;13,38;70,6;8,97;8;0,679
08/01/2019 08:30;8;9,11;68,24;8,47;6;0,629
08/01/2019 09:30;17;11,16;80,17;7,81;11;0,671
08/01/2019 10:30;10;11,64;90,92;7,37;6;0,634
08/01/2019 11:30;14;10,66;108,42;7,3;;0,627
08/01/2019 12:30;;10,93;124,83;7,54;14;0,617
08/01/2019 13:30;16;9,63;135,73;7,42;11;0,584
08/01/2019 14:30;14;18,22;148,41;7,73;11;0,642
08/01/2019 15:30;;13,64;149,94;7,69;8;0,577
08/01/2019 16:30;18;16,67;152,66;7,84;12;0,615
08/01/2019 17:30;20;19,12;152,68;8,58;10;0,633
08/01/2019 18:30;23;25,47;126,67;8,42;13;0,699
08/01/2019 19:30;22;18,02;93,12;7,1;11;0,641
08/01/2019 20:30;14;12,59;62,51;5,13;;0,652
08/01/2019 21:30;18;6,84;46,21;3,99;10;0,632
08/01/2019 22:30;15;3,1;25,51;2,31;8;0,63
08/01/2019 23:30;11;2,06;24,87;2,32;;0,618
09/01/2019 00:30;13;0,72;11,71;;9;0,606
09/01/2019 01:30;13;0,8;11,39;;11;0,614
09/01/2019 02:30;11;0,67;10,47;1,16;9;0,609
09/01/2019 03:30;7;0,41;9,48;1,16;4;0,612
09/01/2019 04:30;7;0,64;9,27;1,17;2;0,599
09/01/2019 05:30;5;5,02;17,23;2,76;4;0,645
09/01/2019 06:30;17;14,31;30,06;5,31;6;0,729
09/01/2019 07:30;17;14,18;62,13;9;8;0,698
09/01/2019 08:30;20;13,11;66,49;8,56;14;0,722
09/01/2019 09:30;;11,28;66,7;7,86;;0,71
09/01/2019 10:30;15;11,39;67,98;7,45;6;0,738
09/01/2019 11:30;;14,67;72,43;7,43;;0,75
09/01/2019 12:30;12;10,22;78,97;7,59;9;0,649
09/01/2019 13:30;13;9,67;69,39;7,37;7;0,635
09/01/2019 14:30;10;11,12;68,63;7,72;6;0,624
09/01/2019 15:30;9;10,61;68,18;7,67;6;0,594
09/01/2019 16:30;9;12,06;71,67;7,72;;0,575
09/01/2019 17:30;11;15,43;70,86;8,53;6;0,606
09/01/2019 18:30;;;;;;
09/01/2019 19:30;14;8,41;60,1;7,05;4;0,591
09/01/2019 20:30;12;6,3;41,24;5,13;8;0,632
09/01/2019 21:30;;2,91;32,97;3,99;;0,636
09/01/2019 22:30;6;1,88;17,52;2,32;;0,669
09/01/2019 23:30;7;2,29;16,53;2,32;6;0,686
10/01/2019 00:30;7;0,96;7,83;1,16;4;0,679
10/01/2019 01:30;16;1,08;8,1;1,16;5;0,709
10/01/2019 02:30;;0,92;7,79;;;0,702
10/01/2019 03:30;12;0,5;8;1,17;8;0,669
10/01/2019 04:30;9;0,54;7,81;1,17;8;0,678
10/01/2019 05:30;9;1,98;17,63;2,77;7;0,661
10/01/2019 06:30;14;7,97;28,53;5,32;6;0,72
10/01/2019 07:30;13;14,07;53,32;9,01;7;0,732
10/01/2019 08:30;10;6,24;55,04;8,52;8;0,671
10/01/2019 09:30;16;7,43;54,21;7,82;6;0,679
10/01/2019 10:30;14;8,57;53,89;7,42;6;0,685
10/01/2019 11:30;15;7,57;61,61;7,36;8;0,66
10/01/2019 12:30;11;4,99;66,33;7,34;7;0,601
10/01/2019 13:30;6;6,04;67,82;7,14;;0,606
10/01/2019 14:30;4;11,1;68,75;7,62;;0,629
10/01/2019 15:30;;12,24;63,73;7,62;6;0,625
10/01/2019 16:30;;14,17;65,31;7,72;17;0,623
10/01/2019 17:30;;18,5;71,14;8,51;6;0,662
10/01/2019 18:30;;15,99;68,96;8,38;3;0,647
10/01/2019 19:30;;12,77;55,79;7,1;12;0,631
10/01/2019 20:30;;7,57;40,31;5,13;13;0,632
10/01/2019 21:30;;4,48;31,91;3,99;8;0,635
10/01/2019 22:30;;2,82;17,57;2,31;11;0,653
10/01/2019 23:30;;2,39;17,11;2,32;9;0,655
11/01/2019 00:30;;0,87;8,61;;7;0,652
11/01/2019 01:30;;0,78;8,5;1,16;5;0,67
11/01/2019 02:30;;0,46;8,88;1,16;10;0,634
11/01/2019 03:30;;0,29;8,9;1,15;7;0,639
11/01/2019 04:30;;0,31;9,01;1,14;14;0,647
11/01/2019 05:30;;2,17;19,19;2,71;;0,646
11/01/2019 06:30;;7,54;33,17;5,3;;0,683
11/01/2019 07:30;;13,58;59,63;8,96;;0,712
11/01/2019 08:30;;9,08;63,68;8,47;;0,692
11/01/2019 09:30;;11,33;60,05;7,82;;0,735
11/01/2019 10:30;;13,82;64,43;7,35;;0,739
11/01/2019 11:30;;14,53;75,12;7,27;;0,737
11/01/2019 12:30;;10,76;83,8;7,17;;0,672
11/01/2019 13:30;;11,39;87,89;6,93;;0,627
11/01/2019 14:30;;11,49;84,47;7,4;;0,652
11/01/2019 15:30;;22,05;86,85;7,71;;0,733
11/01/2019 16:30;;20,35;88,94;7,77;;0,691
11/01/2019 17:30;;10,77;98,95;8,25;;0,606
11/01/2019 18:30;;12,52;94,46;8,41;;0,625
11/01/2019 19:30;;12,59;73,17;7,03;;0,673
11/01/2019 20:30;;8,46;46,99;5,08;;0,663
11/01/2019 21:30;;8,38;34,51;3,96;;0,717
11/01/2019 22:30;;4,22;19,58;2,29;;0,716
11/01/2019 23:30;;4,05;18,58;2,3;;0,694
12/01/2019 00:30;;2,69;8,35;;;0,709
12/01/2019 01:30;;2,24;8,59;;;0,742
12/01/2019 02:30;;0,82;9,3;;;0,644
12/01/2019 03:30;;1,27;8,19;1,16;;0,692
12/01/2019 04:30;;0,76;8,06;1,16;;0,622
12/01/2019 05:30;;4,14;16,86;2,75;;0,681
12/01/2019 06:30;;10,27;31,98;5,3;;0,703
12/01/2019 07:30;;13,22;59,73;8,92;;0,717
12/01/2019 08:30;;13,22;65,32;8,44;;0,688
12/01/2019 09:30;;6,27;75,63;7,79;;0,599
12/01/2019 10:30;;8,85;78,46;7,23;;0,612
12/01/2019 11:30;;7,45;86,73;7,07;;0,575
12/01/2019 12:30;;6,96;87,53;6,99;;0,569
12/01/2019 13:30;;6,92;86,86;6,38;;0,541
12/01/2019 14:30;;9,16;90,53;6,62;;0,564
12/01/2019 15:30;;15,38;91,25;7,22;;0,624
12/01/2019 16:30;;15,85;91,67;7,75;;0,66
12/01/2019 17:30;;30,2;138,69;8,42;;0,817
12/01/2019 18:30;;41,78;89,13;8,39;;1,022
12/01/2019 19:30;;35,4;60,53;7,11;;0,989
12/01/2019 20:30;;28,14;36,41;5,14;;1,252
12/01/2019 21:30;;6,82;26,8;3,98;;0,725
12/01/2019 22:30;;5,51;14,84;2,31;;0,756
12/01/2019 23:30;;3,07;18,37;2,3;;0,635
13/01/2019 00:30;;1,38;9,37;1,15;;0,637
13/01/2019 01:30;;1,22;9,52;1,15;;0,645
13/01/2019 02:30;;0,69;9,9;1,13;;0,639
13/01/2019 03:30;;0,62;9,4;1,12;;0,609
13/01/2019 04:30;;0,47;8,72;1,12;;0,626
13/01/2019 05:30;;1,67;18,97;2,68;;0,6
13/01/2019 06:30;;5,24;34,7;4,98;;0,647
13/01/2019 07:30;;7,62;56,29;8,91;;0,634
13/01/2019 08:30;;3,69;64,04;8;;0,564
13/01/2019 09:30;;5,57;64,76;7,19;;0,596
13/01/2019 10:30;;4,89;70,92;6,53;;0,58
13/01/2019 11:30;;6,15;76,77;6,34;;0,563
13/01/2019 12:30;;6,76;79,28;6,25;;0,556
13/01/2019 13:30;;6,43;83,65;5,76;;0,542
13/01/2019 14:30;;7,06;83,55;6,29;;0,519
13/01/2019 15:30;;6,83;79,54;6,72;;0,511
13/01/2019 16:30;;7,57;76,38;7,35;;0,513
13/01/2019 17:30;;11,73;79,76;7,94;;0,567
13/01/2019 18:30;;;;;;
13/01/2019 19:30;;4,51;57,55;6,37;;0,558
13/01/2019 20:30;;2,93;39,9;4,83;;0,576
13/01/2019 21:30;;3,63;28,12;3,85;;0,611
13/01/2019 22:30;;1,89;15,08;2,31;;0,587
13/01/2019 23:30;;1,49;14,83;2,31;;0,595
14/01/2019 00:30;;1,21;7,73;1,15;;0,646
14/01/2019 01:30;;0,78;8,71;1,16;;0,634
14/01/2019 02:30;;1,21;7,17;1,15;;0,627
14/01/2019 03:30;;0,64;7,34;1,13;;0,625
14/01/2019 04:30;;0,46;7,52;1,13;;0,599
14/01/2019 05:30;;3,21;15,49;2,63;;0,638
14/01/2019 06:30;;7,86;29,53;4,87;;0,697
14/01/2019 07:30;;9,71;52,39;8,61;;0,682
14/01/2019 08:30;;;51,98;8,22;;0,784
14/01/2019 09:30;6;;49,88;;;0,707
14/01/2019 10:30;12;8,6;54,36;;;
14/01/2019 11:30;13;14,41;;7,35;;
14/01/2019 12:30;9;8,06;48,1;6,89;;0,558
14/01/2019 13:30;12;6,91;49,4;5,73;;0,608
14/01/2019 14:30;16;13,56;45,57;6,1;;0,654
14/01/2019 15:30;23;17,85;43,89;6,6;;0,669
14/01/2019 16:30;16;13,35;44,75;6,48;;0,617
14/01/2019 17:30;15;13,12;46,34;7,06;;0,625
14/01/2019 18:30;16;19,15;38,12;6,94;;0,663
14/01/2019 19:30;19;13,84;31,88;6,34;;0,624
14/01/2019 20:30;11;10,29;20,25;4,61;;0,638
14/01/2019 21:30;9;4,28;20,66;3,48;;0,628
14/01/2019 22:30;10;2,05;13,44;2,07;;0,648
14/01/2019 23:30;7;1,97;12,25;2,09;;0,641
15/01/2019 00:30;5;0,77;5,08;1,03;;0,623
15/01/2019 01:30;3;0,53;4,28;1,04;;0,604
15/01/2019 02:30;5;0,39;4,24;1;;0,593
15/01/2019 03:30;4;0,62;3,73;0,98;;0,598
15/01/2019 04:30;4;0,62;3,4;0,98;;0,608
15/01/2019 05:30;3;1,68;7,18;2,38;;0,621
15/01/2019 06:30;2;7,78;8,84;4,47;;0,672
15/01/2019 07:30;18;17,76;12,63;8,38;;0,831
15/01/2019 08:30;17;17,72;15,38;8,46;;0,804
15/01/2019 09:30;17;12,24;21,61;7,57;;0,707
15/01/2019 10:30;20;13,87;27,37;6,68;;0,696
15/01/2019 11:30;16;13,84;43,25;6,89;;0,645
15/01/2019 12:30;26;17,34;63,24;6,44;;0,621
15/01/2019 13:30;23;21,17;70;6,78;;0,673
15/01/2019 14:30;16;21,33;71,84;6,79;;0,661
15/01/2019 15:30;22;23,12;72,04;6,86;;0,663
15/01/2019 16:30;26;21,69;74,54;7,09;;0,655
15/01/2019 17:30;23;31,48;57,09;7,86;;0,706
15/01/2019 18:30;24;30,86;38,05;8,09;;0,732
15/01/2019 19:30;14;17,37;30,22;6,37;;0,626
15/01/2019 20:30;11;9,43;23,18;4,36;;0,611
15/01/2019 21:30;24;6,12;17,2;3,47;;0,632
15/01/2019 22:30;4;2,3;8,73;2,09;;0,601
15/01/2019 23:30;8;3,3;8,54;2,12;;0,613
16/01/2019 00:30;11;1,44;4,16;;;0,624
16/01/2019 01:30;8;0,74;4,17;1,09;;0,585
16/01/2019 02:30;13;0,79;3,8;1,09;;0,605
16/01/2019 03:30;7;0,7;3,35;1,1;;0,618
16/01/2019 04:30;6;0,73;3,01;1,08;;0,594
16/01/2019 05:30;13;4,16;4,55;2,52;;0,613
16/01/2019 06:30;16;15,2;2,37;5,07;;0,808
16/01/2019 07:30;11;16,96;15,3;8,43;;0,704
16/01/2019 08:30;10;12,02;22;7,84;;0,671
16/01/2019 09:30;;15,05;24,38;7,27;;0,697
16/01/2019 10:30;15;13,9;31,33;7,19;;0,677
16/01/2019 11:30;20;13,54;52,56;6,73;;0,614
16/01/2019 12:30;24;21,08;69,66;6,81;;0,649
16/01/2019 13:30;19;23,12;73,02;6,97;;0,654
16/01/2019 14:30;43;24,98;68,43;7,07;;0,672
16/01/2019 15:30;43;32,73;58,46;7,38;;0,746
16/01/2019 16:30;51;43,17;42,14;7,73;;0,812
16/01/2019 17:30;29;34,55;43,27;7,98;;0,794
16/01/2019 18:30;26;25,46;34,68;7,86;;0,763
16/01/2019 19:30;27;17,7;31,97;6,3;;0,698
16/01/2019 20:30;22;10,35;27,66;4,63;;0,645
16/01/2019 21:30;26;9,04;23,24;3,49;;0,639
16/01/2019 22:30;20;7,17;11,18;2,09;;0,747
16/01/2019 23:30;19;5,55;12,71;1,92;;0,683
17/01/2019 00:30;22;1,7;7,59;0,98;;0,642
17/01/2019 01:30;14;1,61;6,54;1,01;;0,625
17/01/2019 02:30;15;2;5,81;1,08;;0,655
17/01/2019 03:30;11;1,04;7,25;1,13;;0,632
17/01/2019 04:30;10;1,12;7;1,11;;0,643
17/01/2019 05:30;16;5,66;12,89;2,53;;0,67
17/01/2019 06:30;31;24,18;9,28;5,06;;0,92
17/01/2019 07:30;47;55,43;7,79;9,95;;1,174
17/01/2019 08:30;32;31,41;22,43;9,72;;0,963
17/01/2019 09:30;49;29,74;34,56;10,72;;0,88
17/01/2019 10:30;41;24,14;49,51;14,83;;0,767
17/01/2019 11:30;25;19,72;56,6;9,78;;0,723
17/01/2019 12:30;23;18,03;59,04;7,81;;0,666
17/01/2019 13:30;18;19,87;56,18;7,4;;0,673
17/01/2019 14:30;;;;;;
17/01/2019 15:30;21;20,58;64,28;7,62;;0,632
17/01/2019 16:30;21;20,74;61,73;7,61;;0,603
17/01/2019 17:30;31;37;53,97;8,38;;0,719
17/01/2019 18:30;28;26,33;58,34;7,45;;0,699
17/01/2019 19:30;22;19,86;51,49;6,72;;0,648
17/01/2019 20:30;24;13,93;37,75;4,86;;0,684
17/01/2019 21:30;19;8,61;30,26;3,57;;0,67
17/01/2019 22:30;21;10,45;9,82;2,03;;0,835
17/01/2019 23:30;18;8,79;10,87;2,01;;0,799
18/01/2019 00:30;23;3,09;5,97;0,94;;0,759
18/01/2019 01:30;12;1,61;6,91;0,99;;0,645
18/01/2019 02:30;13;1,36;5,97;0,95;;0,65
18/01/2019 03:30;11;2,18;4;0,92;;0,694
18/01/2019 04:30;8;1,84;5,25;0,94;;0,633
18/01/2019 05:30;8;8,62;7,19;2,21;;0,656
18/01/2019 06:30;16;25,41;3;4,59;;0,937
18/01/2019 07:30;28;39,51;9,78;8,41;;0,988
18/01/2019 08:30;26;21,57;25,55;7,78;;0,769
18/01/2019 09:30;20;16,03;32,79;7,06;;0,686
18/01/2019 10:30;19;15,74;41,72;5,91;;0,66
18/01/2019 11:30;20;17,03;60,15;5,75;;0,657
18/01/2019 12:30;28;16,4;71,53;5,83;;0,63
18/01/2019 13:30;17;16,13;63,72;5,74;;0,628
18/01/2019 14:30;11;20,94;55,98;6,33;;0,639
18/01/2019 15:30;20;18,8;53,35;6,21;;0,599
18/01/2019 16:30;20;21,48;41,16;6,72;;0,661
18/01/2019 17:30;26;30,08;41,01;7,63;;0,709
18/01/2019 18:30;21;28,28;35,95;7,57;;0,676
18/01/2019 19:30;15;20,2;29,76;6,07;;0,627
18/01/2019 20:30;10;8,97;24,02;4,33;;0,595
18/01/2019 21:30;14;7,73;14,52;3,26;;0,613
18/01/2019 22:30;14;3,04;9,69;1,85;;0,595
18/01/2019 23:30;12;2,76;10,8;1,77;;0,603
19/01/2019 00:30;7;0,83;5,57;0,88;;0,579
19/01/2019 01:30;9;0,88;5,34;0,98;;0,59
19/01/2019 02:30;11;0,7;5,36;0,91;;0,574
19/01/2019 03:30;6;0,5;5,34;0,91;;0,576
19/01/2019 04:30;5;0,41;5,07;0,89;;0,576
19/01/2019 05:30;6;2,04;10,58;2,14;;0,577
19/01/2019 06:30;6;4,71;18,91;4,22;;0,591
19/01/2019 07:30;8;10,69;30,39;6,9;;0,644
19/01/2019 08:30;10;14,14;28,87;7,25;;0,679
19/01/2019 09:30;12;10,05;32,36;7;;0,616
19/01/2019 10:30;25;9,73;36,43;6,72;;0,687
19/01/2019 11:30;12;7,14;45,84;5,73;;0,564
19/01/2019 12:30;13;11,01;49,66;5,73;;0,594
19/01/2019 13:30;17;10,72;52,54;5,69;;0,59
19/01/2019 14:30;12;11,91;54,52;5,81;;0,57
19/01/2019 15:30;13;11,68;56,96;5,79;;0,541
19/01/2019 16:30;12;11,11;58,99;5,87;;0,545
19/01/2019 17:30;12;15,57;59,12;6,59;;0,553
19/01/2019 18:30;16;17,68;49,48;6,61;;0,591
19/01/2019 19:30;18;17,08;31,33;5,52;;0,634
19/01/2019 20:30;10;7,18;24,16;3,9;;0,597
19/01/2019 21:30;16;7,86;17,05;3,11;;0,658
19/01/2019 22:30;11;5,38;7,77;1,84;;0,684
19/01/2019 23:30;7;3,05;9,67;1,95;;0,658
20/01/2019 00:30;12;2,36;3,9;1,03;;0,697
20/01/2019 01:30;14;1,37;4,31;1,03;;0,694
20/01/2019 02:30;10;0,78;4,49;1,12;;0,663
20/01/2019 03:30;7;0,81;4,14;1,03;;0,656
20/01/2019 04:30;8;1,16;3,36;0,92;;0,656
20/01/2019 05:30;16;5,05;5,92;2,15;;0,671
20/01/2019 06:30;2;13,03;9,15;4,37;;0,726
20/01/2019 07:30;12;19,41;20,56;8,12;;0,722
20/01/2019 08:30;11;7,01;30,62;7,82;;0,619
20/01/2019 09:30;13;5,83;29,86;6,92;;0,617
20/01/2019 10:30;12;7,46;36,31;5,84;;0,596
20/01/2019 11:30;12;8,07;48,12;5,65;;0,589
20/01/2019 12:30;11;11,2;55,99;5,99;;0,627
